prompt_id,perturbation_type,temperature,n_generations,avg_tokens_per_second,avg_word_count,avg_lexical_diversity
clean,none,0.2,5,38.63451642845857,61.2,0.7052180984724089
clean,none,0.7,5,31.19685823873926,51.0,0.7532215102236288
clean,none,1.2,5,38.57750318865318,66.2,0.7610612011228208
compressed,compressed,0.2,5,38.14463637892523,59.4,0.5567113386867175
compressed,compressed,0.7,5,37.22955876517469,52.4,0.7602621984805715
compressed,compressed,1.2,5,40.55677885321499,53.4,0.759349746653872
numeric,wording,0.2,5,38.81753691258142,64.2,0.7259935391013765
numeric,wording,0.7,5,39.698174327661626,63.0,0.6757702315899037
numeric,wording,1.2,5,39.25283011730947,52.6,0.7714148921217232
polite,tone,0.2,5,37.40456813021351,50.6,0.7431658423655688
polite,tone,0.7,5,38.06797982185152,56.2,0.7497420020639834
polite,tone,1.2,5,35.53276231656075,53.2,0.8150443355094519
punctuation,punctuation,0.2,5,36.514900070416914,46.0,0.8310243336235128
punctuation,punctuation,0.7,5,40.327983865889216,54.8,0.7474217120598701
punctuation,punctuation,1.2,5,36.68527965858791,50.2,0.8582000474288677
typo,typo,0.2,5,40.202078928879544,32.8,0.8774708593114665
typo,typo,0.7,5,38.816118470609794,44.0,0.8206583033056892
typo,typo,1.2,5,38.65616958236387,65.0,0.7782042904500829
uppercase,formatting,0.2,5,36.95910263832426,35.4,0.8370947108076218
uppercase,formatting,0.7,5,40.48599000366013,41.8,0.8232480533926585
uppercase,formatting,1.2,5,38.00922462801563,63.2,0.7425447648475736
