prompt_id,perturbation_type,temperature,n_generations,avg_tokens_per_second,avg_word_count,avg_lexical_diversity
clean,none,0.2,5,10.776251173550943,62.8,0.7043110955822484
clean,none,0.7,5,10.76393976673149,63.6,0.7128587667918556
clean,none,1.2,5,10.782040334512995,63.2,0.8132361213153876
compressed,compressed,0.2,5,10.80566380364903,64.2,0.7274754023086445
compressed,compressed,0.7,5,10.819625914779948,63.8,0.6844279841487352
compressed,compressed,1.2,5,10.828537163916142,63.8,0.75871967335395
numeric,wording,0.2,5,10.724277934769807,64.8,0.6501508773150564
numeric,wording,0.7,5,10.807586996417545,63.8,0.6243672677773361
numeric,wording,1.2,5,10.801940592609933,64.0,0.7389837375345674
polite,tone,0.2,5,10.82546313000977,62.4,0.7024193548387097
polite,tone,0.7,5,10.825027567730288,63.2,0.6879002517438821
polite,tone,1.2,5,10.910054451588953,65.0,0.7865393940436068
punctuation,punctuation,0.2,5,10.773337751380632,62.6,0.7112472316852058
punctuation,punctuation,0.7,5,10.745049536923343,63.8,0.6895293495505024
punctuation,punctuation,1.2,5,10.764455936991336,63.4,0.7510715020748049
typo,typo,0.2,5,10.861122073971519,62.8,0.679325692228918
typo,typo,0.7,5,10.76133913674126,64.8,0.6932712074846923
typo,typo,1.2,5,10.806902876088675,63.6,0.7700546675442576
uppercase,formatting,0.2,5,10.823524204745626,65.0,0.6419610536522301
uppercase,formatting,0.7,5,10.876940064876962,64.0,0.6498431066415638
uppercase,formatting,1.2,5,10.820444632000266,63.8,0.7591638723298559
