model_revision,task_family,r_semantic_class,r_operation,r_selection_policy,r_scope,r_edit_budget,n,both_correct,broke,recovered,both_wrong,clean_accuracy,perturbed_accuracy,delta,delta_ci_low,delta_ci_high,delta_ci_method,clean_conditioned_failure,retention,discordant_rate,mcnemar_p_value,mcnemar_method,answer_flip_rate,invalid_or_clarification_rate,n_audit_excluded,delta_valid_only,mcnemar_p_valid_only
PIN_ME,gsm8k,A,delete,keyboard_neighbor,anywhere,1,100,64,9,3,24,0.73,0.67,0.05999999999999994,-0.010000000000000009,0.13,BCa,0.1232876712328767,0.9178082191780823,0.12,0.09228515624999999,exact_midp,0.2,0.0,0,0.05999999999999994,0.09228515624999999
PIN_ME,gsm8k,A,delete,keyboard_neighbor,anywhere,2,100,68,5,3,24,0.73,0.71,0.020000000000000018,-0.030000000000000027,0.07999999999999996,BCa,0.0684931506849315,0.9726027397260274,0.08,0.5078125000000001,exact_midp,0.18,0.0,0,0.020000000000000018,0.5078125000000001
PIN_ME,gsm8k,A,insert,filler_word,anywhere,1,100,65,8,3,24,0.73,0.68,0.04999999999999993,-0.010000000000000009,0.10999999999999999,BCa,0.1095890410958904,0.9315068493150686,0.11,0.14599609375,exact_midp,0.18,0.0,0,0.04999999999999993,0.14599609375
PIN_ME,gsm8k,A,insert,filler_word,anywhere,2,100,64,9,3,24,0.73,0.67,0.05999999999999994,-0.010000000000000009,0.13,BCa,0.1232876712328767,0.9178082191780823,0.12,0.09228515624999999,exact_midp,0.23,0.0,0,0.05999999999999994,0.09228515624999999
PIN_ME,gsm8k,A,substitute,informative_word,answer_critical,1,100,67,6,1,26,0.73,0.68,0.04999999999999993,0.0,0.10000000000000009,BCa,0.0821917808219178,0.9315068493150686,0.07,0.07031250000000001,exact_midp,0.14,0.0,0,0.04999999999999993,0.07031250000000001
PIN_ME,gsm8k,A,substitute,informative_word,answer_critical,2,100,53,20,3,24,0.73,0.56,0.16999999999999993,0.07999999999999996,0.25000000000000006,BCa,0.273972602739726,0.767123287671233,0.23,0.00027716159820556684,exact_midp,0.33,0.01,0,0.16161616161616166,0.0004882812500000003
PIN_ME,gsm8k,A,substitute,keyboard_neighbor,anywhere,1,100,66,7,4,23,0.73,0.7,0.030000000000000027,-0.030000000000000027,0.09999999999999998,BCa,0.0958904109589041,0.958904109589041,0.11,0.3876953125,exact_midp,0.15,0.0,0,0.030000000000000027,0.3876953125
PIN_ME,gsm8k,A,substitute,keyboard_neighbor,anywhere,2,100,62,11,5,22,0.73,0.67,0.05999999999999994,-0.020000000000000018,0.13,BCa,0.1506849315068493,0.9178082191780823,0.16,0.14346313476562494,exact_midp,0.25,0.0,0,0.05999999999999994,0.14346313476562494
PIN_ME,gsm8k,A,substitute,keyboard_neighbor,anywhere,4,100,53,20,6,21,0.73,0.59,0.14,0.04999999999999993,0.24,BCa,0.273972602739726,0.8082191780821918,0.26,0.006039559048656826,asymptotic,0.38,0.0,0,0.14,0.006039559048656826
PIN_ME,gsm8k,A,substitute,keyboard_neighbor,content,1,90,58,6,4,22,0.7111111111111111,0.6888888888888889,0.022222222222222254,-0.0444444444444444,0.09999999999999998,BCa,0.09375,0.96875,0.1111111111111111,0.5488281250000001,exact_midp,0.2,0.0,0,0.022222222222222254,0.5488281250000001
PIN_ME,gsm8k,A,substitute,keyboard_neighbor,content,2,90,51,13,8,18,0.7111111111111111,0.6555555555555556,0.05555555555555558,-0.03333333333333344,0.15555555555555556,BCa,0.203125,0.921875,0.23333333333333334,0.2862787246704101,exact_midp,0.34444444444444444,0.0,0,0.05555555555555558,0.2862787246704101
PIN_ME,gsm8k,B,substitute,real_word,anywhere,2,100,57,16,4,23,0.73,0.61,0.12,0.040000000000000036,0.20999999999999996,BCa,0.2191780821917808,0.8356164383561644,0.2,0.007197380065917967,exact_midp,0.3,0.0,0,0.12,0.007197380065917967
PIN_ME,gsm8k,B,substitute,real_word,anywhere,3,100,49,24,4,23,0.73,0.53,0.19999999999999996,0.09999999999999998,0.29000000000000004,BCa,0.3287671232876712,0.726027397260274,0.28,0.00015705228423075143,asymptotic,0.42,0.0,0,0.19999999999999996,0.00015705228423075143
PIN_ME,gsm8k,B,substitute,real_word,anywhere,4,100,46,27,5,22,0.73,0.51,0.21999999999999997,0.12,0.32000000000000006,BCa,0.3698630136986301,0.6986301369863014,0.32,0.00010062192211963679,asymptotic,0.44,0.0,0,0.21999999999999997,0.00010062192211963679
PIN_ME,gsm_symbolic_official,A,delete,keyboard_neighbor,anywhere,1,100,40,8,6,46,0.48,0.46,0.019999999999999962,-0.06,0.08999999999999997,BCa,0.16666666666666666,0.9583333333333334,0.14,0.6072387695312499,exact_midp,0.36,0.0,0,0.019999999999999962,0.6072387695312499
PIN_ME,gsm_symbolic_official,A,delete,keyboard_neighbor,anywhere,2,100,38,10,10,42,0.48,0.48,0.0,-0.09000000000000002,0.08999999999999997,BCa,0.20833333333333334,1.0,0.2,0.8238029479980471,exact_midp,0.47,0.0,0,0.0,0.8238029479980471
PIN_ME,gsm_symbolic_official,A,insert,filler_word,anywhere,1,100,42,6,5,47,0.48,0.47,0.010000000000000009,-0.050000000000000044,0.08000000000000002,BCa,0.125,0.9791666666666666,0.11,0.7744140625,exact_midp,0.38,0.0,0,0.010000000000000009,0.7744140625
PIN_ME,gsm_symbolic_official,A,insert,filler_word,anywhere,2,100,38,10,9,43,0.48,0.47,0.010000000000000009,-0.07,0.09999999999999998,BCa,0.20833333333333334,0.9791666666666666,0.19,0.8238029479980469,exact_midp,0.46,0.0,0,0.010000000000000009,0.8238029479980469
PIN_ME,gsm_symbolic_official,A,substitute,informative_word,answer_critical,1,100,40,8,5,47,0.48,0.45,0.02999999999999997,-0.040000000000000036,0.09999999999999998,BCa,0.16666666666666666,0.9375000000000001,0.13,0.4239501953124999,exact_midp,0.37,0.0,0,0.02999999999999997,0.4239501953124999
PIN_ME,gsm_symbolic_official,A,substitute,informative_word,answer_critical,2,100,41,7,12,40,0.48,0.53,-0.050000000000000044,-0.14960466364768674,0.030000000000000027,BCa,0.14583333333333334,1.1041666666666667,0.19,0.2631759643554687,exact_midp,0.45,0.0,0,-0.050000000000000044,0.2631759643554687
PIN_ME,gsm_symbolic_official,A,substitute,keyboard_neighbor,anywhere,1,100,44,4,6,46,0.48,0.5,-0.020000000000000018,-0.08999999999999997,0.03999999999999998,BCa,0.08333333333333333,1.0416666666666667,0.1,0.5488281250000001,exact_midp,0.31,0.0,0,-0.020000000000000018,0.5488281250000001
PIN_ME,gsm_symbolic_official,A,substitute,keyboard_neighbor,anywhere,2,100,42,6,10,42,0.48,0.52,-0.040000000000000036,-0.12000000000000005,0.030000000000000027,BCa,0.125,1.0833333333333335,0.16,0.33230590820312506,exact_midp,0.36,0.0,0,-0.040000000000000036,0.33230590820312506
PIN_ME,gsm_symbolic_official,A,substitute,keyboard_neighbor,anywhere,4,100,40,8,13,39,0.48,0.53,-0.050000000000000044,-0.14999999999999997,0.030000000000000027,BCa,0.16666666666666666,1.1041666666666667,0.21,0.2862787246704101,exact_midp,0.49,0.0,0,-0.050000000000000044,0.2862787246704101
PIN_ME,gsm_symbolic_official,A,substitute,keyboard_neighbor,content,1,94,35,7,6,46,0.44680851063829785,0.43617021276595747,0.010638297872340385,-0.07446808510638298,0.07446808510638303,BCa,0.16666666666666666,0.9761904761904763,0.13829787234042554,0.7905273437499998,exact_midp,0.3723404255319149,0.0,0,0.010638297872340385,0.7905273437499998
PIN_ME,gsm_symbolic_official,A,substitute,keyboard_neighbor,content,2,94,38,4,7,45,0.44680851063829785,0.4787234042553192,-0.03191489361702132,-0.11702127659574463,0.03191489361702121,BCa,0.09523809523809523,1.0714285714285716,0.11702127659574468,0.3876953125,exact_midp,0.39361702127659576,0.0,0,-0.03191489361702132,0.3876953125
PIN_ME,gsm_symbolic_official,B,substitute,real_word,anywhere,2,100,36,12,5,47,0.48,0.41,0.07,-0.010000000000000009,0.15000000000000002,BCa,0.25,0.8541666666666666,0.17,0.09625244140624994,exact_midp,0.44,0.0,0,0.07,0.09625244140624994
PIN_ME,gsm_symbolic_official,B,substitute,real_word,anywhere,3,100,33,15,7,45,0.48,0.4,0.07999999999999996,-0.020000000000000018,0.16000000000000003,BCa,0.3125,0.8333333333333334,0.22,0.0931396484375,exact_midp,0.57,0.0,0,0.07999999999999996,0.0931396484375
