condition,benchmark,rows,kept_rows,kept_rate,clean_accuracy_on_kept,perturbed_accuracy_on_kept,raw_delta_pp,guarded_delta_pp,guarded_delta_ci_low_pp,guarded_delta_ci_high_pp
clean_fillers,gsm1k,5000,4990,0.998,0.6507014028056112,0.6342685370741483,-1.6400000000000001,-1.6432865731462927,-3.1698712428509497,-0.11518029365051247
clean_fillers,gsm8k,5000,5000,1.0,0.718,0.6838,-3.42,-3.42,-4.882571345369831,-1.9367341400873834
clean_fillers,gsm_symbolic,5000,4955,0.991,0.6785065590312815,0.6619576185671039,-2.04,-1.6548940464177597,-3.027245206861756,-0.4036326942482341
clean_fillers,humaneval,4100,4025,0.9817073170731707,0.7001242236024845,0.6695652173913044,-2.951219512195122,-3.0559006211180124,-5.441614906832298,-0.6453416149068356
clean_fillers,mmlu_pro,5000,4705,0.941,0.3234856535600425,0.3062699256110521,-1.8800000000000001,-1.7215727948990436,-2.7661941038586364,-0.6355932203389831
clean_fillers,truthfulqa,5000,4735,0.947,0.5839493136219641,0.5472016895459345,-3.64,-3.6747624076029566,-5.053533190578158,-2.3059494101633398
clean_homophone,gsm1k,5000,5000,1.0,0.6508,0.6504,-0.04,-0.04,-0.9227760203687987,0.8660842632297047
clean_homophone,gsm8k,5000,5000,1.0,0.718,0.7076,-1.04,-1.04,-1.9758124879273709,-0.1196057148750794
clean_homophone,gsm_symbolic,5000,5000,1.0,0.6788,0.6756,-0.32,-0.32,-1.06,0.4
clean_homophone,humaneval,4100,4100,1.0,0.6990243902439024,0.6914634146341463,-0.7560975609756098,-0.7560975609756098,-1.6341463414634148,0.12195121951219512
clean_homophone,mmlu_pro,5000,5000,1.0,0.326,0.331,0.5,0.5,-0.039884350951150546,1.0190832236970648
clean_homophone,truthfulqa,5000,5000,1.0,0.5858,0.582,-0.38,-0.38,-1.0230830286133994,0.24624349635795997
clean_nocase,gsm1k,5000,5000,1.0,0.6508,0.6316,-1.92,-1.92,-3.3303212323279734,-0.48768219070520746
clean_nocase,gsm8k,5000,5000,1.0,0.718,0.6958,-2.22,-2.22,-3.6527397766049234,-0.7826698711532233
clean_nocase,gsm_symbolic,5000,5000,1.0,0.6788,0.666,-1.28,-1.28,-2.4,-0.13999999999999999
clean_nocase,humaneval,4100,4100,1.0,0.6990243902439024,0.6536585365853659,-4.536585365853658,-4.536585365853658,-7.536585365853658,-1.5853658536585367
clean_nocase,mmlu_pro,5000,5000,1.0,0.326,0.3248,-0.12,-0.12,-1.058941058941059,0.8670012272089758
clean_nocase,truthfulqa,5000,5000,1.0,0.5858,0.5774,-0.84,-0.84,-2.057465330345788,0.37267863407788493
clean_nofunc,gsm1k,5000,4990,0.998,0.6505010020040081,0.6533066132264529,0.27999999999999997,0.280561122244489,-1.038980896779062,1.5508818763351218
clean_nofunc,gsm8k,5000,4995,0.999,0.7181181181181181,0.7107107107107107,-0.74,-0.7407407407407408,-2.0273109983794826,0.5211101154782889
clean_nofunc,gsm_symbolic,5000,5000,1.0,0.6788,0.6748,-0.4,-0.4,-1.44,0.5599999999999999
clean_nofunc,humaneval,4100,4075,0.9939024390243902,0.6996319018404908,0.6947239263803681,-0.4878048780487805,-0.49079754601227,-2.4294478527607364,1.571165644171776
clean_nofunc,mmlu_pro,5000,5000,1.0,0.326,0.3268,0.08,0.08,-0.7370701640099622,0.8847219163546801
clean_nofunc,truthfulqa,5000,5000,1.0,0.5858,0.5888,0.3,0.3,-0.4934492514235301,1.1499406842787718
clean_numwords,gsm1k,5000,3695,0.739,0.6606224627875508,0.6733423545331529,-0.27999999999999997,1.2719891745602165,-0.08143064255311239,2.6894163070633645
clean_numwords,gsm8k,5000,3920,0.784,0.735969387755102,0.7331632653061224,-0.5,-0.28061224489795916,-1.550429542966284,0.9397514496352495
clean_numwords,gsm_symbolic,5000,3725,0.745,0.7154362416107383,0.7063087248322147,-1.02,-0.9127516778523489,-2.0939597315436242,0.24161073825503354
clean_numwords,humaneval,4100,2400,0.5853658536585366,0.7425,0.7304166666666667,-5.097560975609756,-1.2083333333333333,-3.375,0.625
clean_numwords,mmlu_pro,5000,2505,0.501,0.4115768463073852,0.40678642714570856,-0.74,-0.47904191616766467,-1.4229953430125621,0.47904191616766467
clean_numwords,truthfulqa,5000,4915,0.983,0.5877924720244151,0.5904374364191252,0.32,0.2644964394710071,-0.2828641747423473,0.7730882787893252
clean_qfirst,gsm1k,4920,4335,0.8810975609756098,0.6585928489042676,0.639677047289504,-2.540650406504065,-1.8915801614763552,-3.2766439513075896,-0.5110354118552737
clean_qfirst,gsm8k,4700,4210,0.8957446808510638,0.7239904988123516,0.7104513064133017,-1.9574468085106382,-1.3539192399049882,-2.9199446201838395,0.21252733280705305
clean_qfirst,gsm_symbolic,4740,4325,0.9124472573839663,0.696878612716763,0.6790751445086706,-1.5189873417721518,-1.7803468208092488,-3.098265895953757,-0.5317919075144508
clean_qfirst,humaneval,25,25,1.0,0.36,0.08,-28.000000000000004,-28.000000000000004,-28.000000000000004,-28.000000000000004
clean_qfirst,mmlu_pro,1755,1120,0.6381766381766382,0.3580357142857143,0.35714285714285715,-0.39886039886039887,-0.08928571428571429,-2.242152466367713,2.124129793510323
clean_qfirst,truthfulqa,430,430,1.0,0.4255813953488372,0.42093023255813955,-0.46511627906976744,-0.46511627906976744,-4.827586206896552,4.0010638297872285
ctrl_option_perm,mmlu_pro,5000,5000,1.0,0.326,0.3324,0.64,0.64,-0.910191064823729,2.250614231419743
ctrl_option_perm,truthfulqa,5000,5000,1.0,0.5858,0.5816,-0.42,-0.42,-1.9512317809294792,1.130445783826206
kbd_fatfinger,gsm1k,5000,4445,0.889,0.6656917885264342,0.6713160854893139,0.42,0.562429696287964,-0.8668609865470852,2.0295207881532296
kbd_fatfinger,gsm8k,5000,4405,0.881,0.7219069239500567,0.7096481271282633,-1.3,-1.2258796821793416,-2.5199353781859455,0.17631067190538502
kbd_fatfinger,gsm_symbolic,5000,4485,0.897,0.691638795986622,0.6943143812709031,-0.16,0.26755852842809363,-0.7586399108138238,1.3600891861761426
kbd_fatfinger,humaneval,4100,3525,0.8597560975609756,0.7026950354609929,0.6921985815602837,-1.3170731707317074,-1.049645390070922,-3.460992907801418,1.3333333333333335
kbd_fatfinger,mmlu_pro,5000,4765,0.953,0.32801678908709336,0.3143756558237146,-1.3599999999999999,-1.3641133263378804,-2.3765710543723597,-0.3360557542475892
kbd_fatfinger,truthfulqa,5000,4960,0.992,0.5870967741935483,0.5564516129032258,-2.98,-3.064516129032258,-4.409937888198757,-1.74001914137271
kbd_neighbor,gsm1k,5000,4445,0.889,0.6656917885264342,0.6409448818897637,-2.68,-2.4746906636670416,-4.127788531084063,-0.8840569784960981
kbd_neighbor,gsm8k,5000,4405,0.881,0.7219069239500567,0.6874006810442679,-4.24,-3.4506242905788875,-4.942909249176922,-1.9294722217053406
kbd_neighbor,gsm_symbolic,5000,4485,0.897,0.691638795986622,0.6604236343366778,-4.1000000000000005,-3.121516164994426,-4.503901895206243,-1.850613154960981
kbd_neighbor,humaneval,4100,3525,0.8597560975609756,0.7026950354609929,0.6817021276595745,-1.5365853658536586,-2.099290780141844,-4.595744680851064,0.28368794326241137
kbd_neighbor,mmlu_pro,5000,4765,0.953,0.32801678908709336,0.3135362014690451,-1.4200000000000002,-1.4480587618048268,-2.6848040486953977,-0.2728706624605707
kbd_neighbor,truthfulqa,5000,4960,0.992,0.5870967741935483,0.5445564516129032,-4.14,-4.254032258064516,-5.67767658169771,-2.8513227844796076
kbd_nospace,gsm1k,5000,4195,0.839,0.6703218116805721,0.6696066746126341,0.27999999999999997,-0.07151370679380215,-1.3040833048428115,1.1204206517631325
kbd_nospace,gsm8k,5000,4200,0.84,0.7192857142857143,0.7185714285714285,-1.0,-0.07142857142857142,-1.327304500019024,1.2245018148602196
kbd_nospace,gsm_symbolic,5000,4295,0.859,0.680325960419092,0.6784633294528521,-0.24,-0.18626309662398138,-1.2805587892898718,0.8620488940628606
kbd_nospace,humaneval,4100,3375,0.823170731707317,0.6912592592592592,0.693037037037037,0.2926829268292683,0.17777777777777778,-2.0148148148148146,2.3125925925925843
kbd_nospace,mmlu_pro,5000,4615,0.923,0.3289274106175515,0.3198266522210184,-0.7000000000000001,-0.9100758396533045,-1.891355797889956,0.06432962912533897
kbd_nospace,truthfulqa,5000,4940,0.988,0.5874493927125506,0.575506072874494,-1.28,-1.194331983805668,-2.3276600903049607,-0.02009206109599385
kbd_random,gsm1k,5000,4445,0.889,0.6656917885264342,0.6488188976377953,-2.16,-1.687289088863892,-3.0751964085297416,-0.295707490488604
