condition,benchmark,kept_rate,rows
clean_fillers,gsm1k,0.998,5000
clean_fillers,gsm8k,1.0,5000
clean_fillers,gsm_symbolic,0.991,5000
clean_fillers,humaneval,0.9817073170731707,4100
clean_fillers,mmlu_pro,0.941,5000
clean_fillers,truthfulqa,0.947,5000
clean_homophone,gsm1k,1.0,5000
clean_homophone,gsm8k,1.0,5000
clean_homophone,gsm_symbolic,1.0,5000
clean_homophone,humaneval,1.0,4100
clean_homophone,mmlu_pro,1.0,5000
clean_homophone,truthfulqa,1.0,5000
clean_nocase,gsm1k,1.0,5000
clean_nocase,gsm8k,1.0,5000
clean_nocase,gsm_symbolic,1.0,5000
clean_nocase,humaneval,1.0,4100
clean_nocase,mmlu_pro,1.0,5000
clean_nocase,truthfulqa,1.0,5000
clean_nofunc,gsm1k,0.998,5000
clean_nofunc,gsm8k,0.999,5000
clean_nofunc,gsm_symbolic,1.0,5000
clean_nofunc,humaneval,0.9939024390243902,4100
clean_nofunc,mmlu_pro,1.0,5000
clean_nofunc,truthfulqa,1.0,5000
clean_numwords,gsm1k,0.739,5000
clean_numwords,gsm8k,0.784,5000
clean_numwords,gsm_symbolic,0.745,5000
clean_numwords,humaneval,0.5853658536585366,4100
clean_numwords,mmlu_pro,0.501,5000
clean_numwords,truthfulqa,0.983,5000
clean_qfirst,gsm1k,0.8810975609756098,4920
clean_qfirst,gsm8k,0.8957446808510638,4700
clean_qfirst,gsm_symbolic,0.9124472573839663,4740
clean_qfirst,humaneval,1.0,25
clean_qfirst,mmlu_pro,0.6381766381766382,1755
clean_qfirst,truthfulqa,1.0,430
ctrl_option_perm,mmlu_pro,1.0,5000
ctrl_option_perm,truthfulqa,1.0,5000
kbd_fatfinger,gsm1k,0.889,5000
kbd_fatfinger,gsm8k,0.881,5000
kbd_fatfinger,gsm_symbolic,0.897,5000
kbd_fatfinger,humaneval,0.8597560975609756,4100
kbd_fatfinger,mmlu_pro,0.953,5000
kbd_fatfinger,truthfulqa,0.992,5000
kbd_neighbor,gsm1k,0.889,5000
kbd_neighbor,gsm8k,0.881,5000
kbd_neighbor,gsm_symbolic,0.897,5000
kbd_neighbor,humaneval,0.8597560975609756,4100
kbd_neighbor,mmlu_pro,0.953,5000
kbd_neighbor,truthfulqa,0.992,5000
kbd_nospace,gsm1k,0.839,5000
kbd_nospace,gsm8k,0.84,5000
kbd_nospace,gsm_symbolic,0.859,5000
kbd_nospace,humaneval,0.823170731707317,4100
kbd_nospace,mmlu_pro,0.923,5000
kbd_nospace,truthfulqa,0.988,5000
kbd_random,gsm1k,0.889,5000
kbd_random,gsm8k,0.881,5000
kbd_random,gsm_symbolic,0.897,5000
kbd_random,humaneval,0.8597560975609756,4100
kbd_random,mmlu_pro,0.952,5000
kbd_random,truthfulqa,0.992,5000
kbd_repeat,gsm1k,0.889,5000
kbd_repeat,gsm8k,0.881,5000
kbd_repeat,gsm_symbolic,0.897,5000
kbd_repeat,humaneval,0.8597560975609756,4100
kbd_repeat,mmlu_pro,0.953,5000
kbd_repeat,truthfulqa,0.992,5000
kbd_swap,gsm1k,0.884,5000
kbd_swap,gsm8k,0.869,5000
kbd_swap,gsm_symbolic,0.878,5000
kbd_swap,humaneval,0.8536585365853658,4100
kbd_swap,mmlu_pro,0.952,5000
kbd_swap,truthfulqa,0.992,5000
spoken_casual,gsm1k,0.987,5000
spoken_casual,gsm8k,0.989,5000
spoken_casual,gsm_symbolic,0.98,5000
spoken_casual,humaneval,0.9658536585365853,4100
spoken_casual,mmlu_pro,0.915,5000
spoken_casual,truthfulqa,0.755,5000
spoken_filler_stripped,gsm1k,0.963,5000
spoken_filler_stripped,gsm8k,0.962,5000
spoken_filler_stripped,gsm_symbolic,0.964,5000
spoken_filler_stripped,humaneval,0.9195121951219513,4100
spoken_filler_stripped,mmlu_pro,0.855,5000
spoken_filler_stripped,truthfulqa,0.605,5000
spoken_formal,gsm1k,0.99,5000
spoken_formal,gsm8k,0.997,5000
spoken_formal,gsm_symbolic,0.988,5000
spoken_formal,humaneval,0.9768292682926829,4100
spoken_formal,mmlu_pro,0.951,5000
spoken_formal,truthfulqa,0.871,5000
spoken_recast,gsm1k,0.714,5000
spoken_recast,gsm8k,0.724,5000
spoken_recast,gsm_symbolic,0.705,5000
spoken_recast,humaneval,0.8451219512195122,4100
spoken_recast,mmlu_pro,0.798,5000
spoken_recast,truthfulqa,0.67,5000
spoken_reflow,gsm1k,0.943,5000
spoken_reflow,gsm8k,0.938,5000
spoken_reflow,gsm_symbolic,0.939,5000
spoken_reflow,humaneval,0.9207317073170732,4100
spoken_reflow,mmlu_pro,0.868,5000
spoken_reflow,truthfulqa,0.694,5000
spoken_reflow_llama,gsm1k,0.924,5000
spoken_reflow_llama,gsm8k,0.936,5000
spoken_reflow_llama,gsm_symbolic,0.918,5000
spoken_reflow_llama,humaneval,0.8939024390243903,4100
spoken_reflow_llama,mmlu_pro,0.817,5000
spoken_reflow_llama,truthfulqa,0.642,5000
